iter	Passed	Remaining
0	145	145528
1	146	73024
2	146	48832
3	147	36731
4	148	29473
5	148	24631
6	149	21178
7	149	18587
8	150	16570
9	151	14957
10	151	13636
11	152	12537
12	152	11605
13	153	10818
14	154	10132
15	154	9529
16	155	8996
17	156	8523
18	156	8099
19	157	7714
20	158	7365
21	158	7047
22	159	6758
23	159	6492
24	160	6246
25	160	6019
26	161	5810
27	161	5615
28	162	5433
29	162	5263
30	163	5104
31	163	4955
32	164	4815
33	164	4683
34	165	4559
35	165	4441
36	166	4330
37	166	4225
38	167	4125
39	167	4031
40	168	3942
41	169	3856
42	169	3774
43	170	3696
44	170	3622
45	171	3550
46	171	3481
47	172	3415
48	172	3352
49	173	3291
50	173	3233
51	174	3177
52	174	3122
53	175	3070
54	175	3020
55	176	2971
56	176	2924
57	177	2878
58	177	2834
59	178	2792
60	178	2751
61	179	2711
62	179	2672
63	180	2635
64	180	2599
65	181	2563
66	181	2531
67	182	2498
68	182	2469
69	183	2437
70	184	2407
71	184	2380
72	185	2354
73	185	2327
74	186	2301
75	187	2277
76	188	2253
77	188	2229
78	189	2205
79	189	2183
80	190	2162
81	191	2141
82	192	2121
83	192	2100
84	193	2080
85	193	2060
86	194	2041
87	195	2022
88	195	2003
89	196	1986
90	197	1968
91	197	1951
92	198	1934
93	198	1915
94	199	1899
95	199	1882
96	200	1866
97	201	1851
98	201	1836
99	202	1821
100	202	1806
101	203	1792
102	204	1778
103	204	1764
104	205	1751
105	206	1737
106	206	1724
107	207	1711
108	207	1699
109	208	1686
110	208	1672
111	209	1662
112	210	1651
113	211	1640
114	211	1629
115	212	1618
116	213	1608
117	213	1597
118	214	1585
119	214	1575
120	215	1564
121	215	1553
122	216	1543
123	217	1533
124	217	1524
125	218	1515
126	219	1505
127	219	1496
128	220	1487
129	220	1478
130	221	1469
131	222	1460
132	222	1451
133	223	1443
134	223	1434
135	224	1425
136	225	1417
137	225	1409
138	226	1401
139	226	1393
140	227	1385
141	228	1377
142	228	1370
143	229	1362
144	229	1355
145	230	1348
146	231	1341
147	231	1334
148	232	1327
149	233	1320
150	233	1313
151	234	1307
152	235	1301
153	235	1295
154	236	1289
155	237	1283
156	237	1277
157	238	1271
158	239	1264
159	239	1258
160	240	1254
161	241	1248
162	242	1246
163	244	1244
164	245	1240
165	245	1235
166	246	1230
167	247	1224
168	248	1219
169	248	1215
170	249	1210
171	250	1205
